epoch,train_loss,valid_loss,val_mrr
1,0.03770590512431227,0.02234447379305493,0.6643629993590359
2,0.022626251902693184,0.021010580894653685,0.6775011709125027
3,0.021026328484367696,0.020149525720626116,0.6766737745661396
4,0.02018317609508813,0.019943983876146376,0.6806534709919212
5,0.019374990024516592,0.01960242851782823,0.6839239289908294
6,0.01898354018885584,0.01922163374547381,0.6834291639151513
7,0.018275364445798914,0.019254636245022994,0.683754183042479
8,0.017827051327913068,0.018936795684567187,0.6830950053672938
9,0.017399151727659046,0.01894146063568769,0.6871571262752845
10,0.016502114873219398,0.014307081248261966,0.6617784342645422
11,0.010873799827095354,0.011122924319352023,0.6595921733590543
12,0.009108402460697107,0.01009631564738811,0.6588287771988727
13,0.008311872287777078,0.009258133763069054,0.6549333476848944
