epoch,train_loss,valid_loss,val_mrr
1,0.03770590512431227,0.02234447379305493,0.6638631191169596
2,0.022626251902693184,0.021010580894653685,0.6786947986272992
3,0.02106623361214588,0.02027779530180851,0.6774212918922495
4,0.020306945461925352,0.019807740398391616,0.6818874139755144
5,0.01954945330362534,0.019500512040394824,0.6825981554370646
6,0.019071338756475598,0.019054612908803392,0.6868192828682236
7,0.018553405154307256,0.019300812571600545,0.6863666270059533
8,0.0179970793742541,0.019019063729501795,0.6842361480809215
9,0.01754496911962633,0.018756978104647715,0.688587239526519
10,0.017130497652033227,0.0184063441993203,0.6846920281949971
11,0.01664125873685407,0.018272564208018593,0.6891604290727702
12,0.012560841425511171,0.012266841724340338,0.664843558332781
13,0.009655737767388928,0.010506873975828057,0.665844603669156
14,0.008653668272927462,0.009825810360780451,0.6643349992775797
15,0.008131480626616394,0.009532336160191335,0.6618335859401336
16,0.007748148517748632,0.00910646719057695,0.6601118839618504
17,0.0074917968831869075,0.008968358109996188,0.6627337097707988
18,0.007326985462896118,0.008869995352142723,0.662893152658874
19,0.007253172530909069,0.008815868466626853,0.6624033330521262
20,0.007179073985753348,0.008768102059548255,0.6619694408808031
