epoch,train_loss,val_mrr,running_ratio
1,2.7931048031896353,0.6309987326023776,484.0141162904059
2,2.3312707585282624,0.6660153193172978,777.4806888770995
3,2.1899520696606487,0.6754519043449384,845.2768890026937
4,2.0986353303305805,0.6829468837242721,833.1630071423904
5,2.028147217584774,0.6819294747039301,781.3524797310862
6,1.972572825383395,0.6816475587322967,712.6851288985181
7,1.9222798570990562,0.6817985894746893,711.1137410638611
8,1.8710598293691874,0.6875771032546087,769.3955488697013
9,1.8427507074084133,0.68855727580299,711.0495667014277
10,1.7902141187805682,0.6865234517045911,702.942398968306
11,1.749123324174434,0.689529860450509,678.282656569052
12,1.7159268739633262,0.6862254387164328,610.158883064035
13,1.6780891532544047,0.6906337182071853,623.4151507090373
14,1.6479543584864587,0.6877151157773109,598.9149048779544
15,1.613845839863643,0.6887670703526929,520.1357471797337
