epoch,train_loss,val_mrr,running_ratio
1,1.9586596842855215,0.6563102001751333,390.9424701976883
2,1.8104584796819836,0.6604339939898064,549.702822488979
3,1.8612479120492935,0.6648515583560536,999.999999190768
4,1.793627321952954,0.6680934586961277,999.9999999999997
5,1.7614220462273806,0.6726367688827265,999.9999999999997
6,1.737378365593031,0.6721900281891783,999.9999999999997
7,1.708018388831988,0.6755243894042894,999.9999999999997
8,1.694472378352657,0.6730566731345672,999.9999999999997
9,1.670478270854801,0.6786902167957882,999.9999999999997
10,1.6479214949067682,0.678729804789741,999.9999999999997
11,1.6266369121149182,0.6793562308544948,999.9999999999997
12,1.6068322220817208,0.680390803561129,999.9999999999997
13,1.5815491855610162,0.6789139265374871,999.9999999999997
14,1.5616415264084935,0.6791932728046758,999.9999999999997
15,1.5501733787823468,0.681036866046646,999.9999999999997
16,1.5274258982390165,0.6809985144199266,999.9999999999997
17,1.5128809369634837,0.680922150561413,999.9999999999997
18,1.5048349706921726,0.6797294198189232,999.9999999999997
19,1.4973893514834344,0.6800970814945457,999.9991088416621
20,1.4922524546273053,0.6799379780013967,999.9999999999997
