epoch,train_loss,valid_loss,val_mrr
1,1.151565226027742,1.0174226318486035,0.6706468236998578
2,1.0235646838555112,0.9874407071620226,0.6759185481266913
3,0.9837706733960658,0.9663101094774902,0.6736986871234599
4,0.9495835455600172,0.9364155801013112,0.6799910448224403
5,0.9128990008030087,0.9313001516275108,0.6831720965006524
6,0.8880672921659425,0.9067206955514848,0.6852725389746649
7,0.8597085532965139,0.9033346632495522,0.6863398632917299
8,0.8371247589820996,0.9005717723630369,0.6844172880018148
9,0.8189928238280118,0.8930737650953233,0.6908303490822348
10,0.7930529353907332,0.7289821458980441,0.6728652786383911
11,0.5339150258805603,0.5542954104021192,0.6563577639498649
12,0.43444159568753093,0.4876706311479211,0.662992304462467
13,0.38997824263060465,0.4477929272688925,0.664353762968527
14,0.3620587589684874,0.412193605909124,0.6571573541547306
15,0.3439810888376087,0.40791666880249977,0.655300815420559
16,0.3299747802084312,0.39979082462377846,0.6606294854675996
17,0.3198033284279518,0.3915127208456397,0.6599057985138416
18,0.30868601775728166,0.3902848974103108,0.6624827514649796
