epoch,train_loss,val_mrr,running_ratio
1,2.979900882113725,0.6439976067809209,735.9518657577456
2,2.45479756873101,0.667046934439572,926.6743075295875
3,2.3236749849747866,0.6742609675470611,1035.214513984164
4,2.231485937256366,0.6799379537589019,1013.7264824076035
5,2.1613526586443186,0.6841571660329727,974.382653920378
6,2.1095227531623095,0.6868780466755341,886.7067336803201
7,2.050776267191395,0.6831870298774264,873.3421755218073
8,1.994012231240049,0.6895945394265433,890.6837510290804
9,1.9746408755891025,0.6878469707063433,842.2069377722332
10,1.9120029569603503,0.6898009885119704,867.6108274598345
11,1.868904901202768,0.6895261513488096,816.59231850774
12,1.8353477166965604,0.6904359236923887,730.0652042077897
13,1.7969993485603482,0.6895478968666129,736.7100533384827
14,1.7609274797141552,0.6890893500781146,698.6678974779168
15,1.7287215150427073,0.6912846291916533,612.4841901116793
16,1.7005882486701012,0.6917231031944857,599.8343170443411
17,1.6722750400658697,0.6914670297222733,529.1341243224263
